영화대표코드,제목,누적관객수
20234675,파묘,9298501
20236295,듄: 파트2,1581213
20236180,웡카,3466601
20236732,가여운 것들,109826
20234789,패스트 라이브즈,89574
20236488,밥 말리: 원 러브,27283
20247782,랜드 오브 배드,25816
20247437,브레드이발소: 셀럽 인 베이커리타운,169379
20247074,건국전쟁,1160629
20247053,메이 디셈버,23931
20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",479674
20247473,아이엠 티라노,45256
20231415,소풍,332667
20247219,사운드 오브 프리덤,43217
20247063,바튼 아카데미,24393
20206946,시민덕희,1695199
20212668,도그데이즈,364811
20246966,아기상어 극장판: 사이렌 스톤의 비밀,95668
20211477,데드맨,231476
20234581,아가일,135539
20234730,추락의 해부,71268
20212866,서울의 봄,13114138
20235253,외계+인 2부,1406244
20235834,위시,1385854
20235583,인투 더 월드,332104
20246964,정글번치: 월드투어,20714
20203702,노량: 죽음의 바다,4550731
20236464,도그맨,35065
20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,907283
20235353,길위에 김대중,110919
20161872,너의 이름은.,3907409
20235854,덤 머니,24992
20234114,괴물,475358
20228555,더 퍼스트 슬램덩크,4847680
20235735,아쿠아맨과 로스트 킹덤,868684
20235596,트롤: 밴드 투게더,396373
20234673,뽀로로 극장판 슈퍼스타 대모험,357851
20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",60669
20235290,도티와 영원의 탑,41696
20236080,류이치 사카모토: 오퍼스,31195
20190324,3일의 휴가,487497
20235980,말하고 싶은 비밀,65521
20233299,크레센도,19125
20235098,나폴레옹,208098
20235698,쏘우 X,50316
20202247,싱글 인 서울,381205
20235030,프레디의 피자가게,709645
20235697,엔시티 네이션 : 투 더 월드 인 시네마,19906
20234664,그대들은 어떻게 살 것인가,1991071
20234957,스노우 폭스: 썰매개가 될 거야!,82804
20235261,극장판 파워 디지몬 더 비기닝,24440
20136803,겨울왕국,10324794
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,22117
20232536,명탐정코난: 흑철의 어영,796713
20234797,헝거게임: 노래하는 새와 뱀의 발라드,168880
20235034,더 마블스,678697
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",1160770
20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,41317
20228819,30일,2161133
20200622,소년들,452312
20081056,다크 나이트,4266806
20225894,뉴 노멀,96398
20234666,톡 투 미,173374
20224517,용감한 시민,261933
20233178,블루 자이언트,100736
20197122,1947 보스톤,1010900
20232894,플라워 킬링 문,161754
20199950,조커,5273111
20235459,테일러 스위프트 디 에라스 투어,13723
20226270,스즈메의 문단속,5567283
20234853,엑소시스트: 믿는 자,78260
20227626,화란,254539
20234663,바람 따라 만나리 : 김호중의 계절,39297
20227410,천박사 퇴마 연구소: 설경의 비밀,1901915
20234213,익스펜더블 4,50222
20212667,화사한 그녀,84236
20234253,퍼피 구조대: 더 마이티 무비,114678
20233879,크리에이터,249169
20234281,더 넌 2,350450
20234277,사나: 저주의 아이,66691
20223896,거미집,308803
20234099,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,120951
20224667,잠,1463111
20233235,가문의 영광: 리턴즈,156442
20226431,오펜하이머,3208000
20233411,그란 투리스모,105058
20233597,아르고 원정대: 꼬마 영웅 패티의 대모험,64267
20234044,베니스 유령 살인사건,191470
20226500,달짝지근해: 7510,1371744
20204264,콘크리트 유토피아,3840463
20228016,"여름을 향한 터널, 이별의 출구",61902
20233743,아이유 콘서트 : 더 골든 아워,66926
20233643,닌자터틀: 뮤턴트 대소동,50872
20233014,타겟,415063
20228930,엘리멘탈,7205607
20218541,밀수,5113127
20090379,해리 포터와 혼혈 왕자,2993239
20233075,신체모음.zip,51250
20232629,마야 3: 숲속 왕국의 위기,44822
20223831,스파이 코드명 포춘,36397
20233569,조이 라이드,10257
20233052,메가로돈 2,123324
20192995,보호자,123464
20232631,미션 임파서블: 데드 레코닝 PART ONE,4013101
20193879,비공식작전,1041899
20232698,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,69558
20218935,더 문,483231
20232740,바비,555767
20232836,몬스터 패밀리 2,99769
20232778,인시디어스: 빨간 문,393323
20219331,여름날 우리,393436
20232639,극장판 슈퍼윙스: 맥시멈 스피드,95297
20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,24222
20226411,범죄도시3,10673784
20232180,스파이더맨: 어크로스 더 유니버스,899320
20232273,인디아나 존스: 운명의 다이얼,849616
20232570,극장판 도라에몽: 진구와 하늘의 유토피아,62072
20211937,귀공자,678924
20231889,보 이즈 어프레이드,53884
20224579,악마들,80476
20231971,플래시,625995
20232220,"2022 영탁 단독 콘서트 ""탁쇼""",32667
20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,69283
20231781,애스터로이드 시티,29075
20232025,트랜스포머: 비스트의 서막,757601
20227654,수라,19222
20231496,가디언즈 오브 갤럭시: Volume 3,4202900
20231677,남은 인생 10년,131238
20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,573595
20231839,인어공주,643013
20231592,분노의 질주: 라이드 오어 다이,1770063
20227890,슈퍼 마리오 브라더스,2387766
20231348,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,727223
19960041,아기공룡 둘리-얼음별 대모험,85485
20231029,슬픔의 삼각형,38178
20198482,드림,1107622
20231437,문재인입니다,104822
20231089,존 윅 4,1913536
20218656,롱디,25914
20225865,옥수역귀신,223640
20226489,리바운드,685376
20200154,킬링 로맨스,185161
20231164,무명,15976
20231244,렌필드,47555
20100312,인셉션,6011861
20231009,거울 속 외딴 성,36649
20231010,에어,101689
20226410,던전 앤 드래곤: 도적들의 명예,290324
20179462,위대한 쇼맨,1721355
20210544,웅남이,307689
